,date,class,text
0,2023-05-18,0," O presidente do Instituto Brasileiro do Meio Ambiente e dos Recursos Naturais Renováveis (Ibama), Rodrigo Agostinho, negou nesta quarta-feira, 17, pedido da Petrobras para explorar petróleo na foz do Rio Amazonas. A questão virou um cabo de guerra entre os ministros de Minas e Energia, Alexandre Silveira, e do Meio Ambiente e Mudança do Clima, Marina Silva. Com a decisão, Agostinho segue a área técnica do Ibama e dá a vitória a Marina, que chegou a comparar o caso com a polêmica construção da Usina de Belo Monte. Em 2008, ela rompeu com o governo petista por causa da construção da hidrelétrica. Colegas partidários da ministra do Meio Ambiente defenderam a saída dela do governo caso o projeto fosse autorizado. ""Não restam dúvidas de que foram oferecidas todas as oportunidades à Petrobras para sanar pontos críticos de seu projeto, mas que este ainda apresenta inconsistências preocupantes para a operação segura em nova fronteira exploratória de alta vulnerabilidade socioambiental"", afirma Agostinho, no despacho em que nega a licença ambiental. O Ibama entende ser necessário retomar ações que competem à área ambiental para assegurar a realização de Avaliação Ambiental de Área Sedimentar (AAAS). Na prática, trata-se de um conjunto de estudos que medirá os riscos da atividade petroleira ao ecossistema e definirá se a exploração ali tem viabilidade ambiental. A equipe técnica do órgão aponta também haver ""inconsistências identificadas sucessivamente"" e ""notória sensibilidade socioambiental da área de influência e da área sujeita ao risco"" destacando a necessidade de ""avaliações mais amplas e aprofundadas"". Para Suely Araújo, ex-presidente do Ibama e especialista-sênior em Políticas Públicas do Observatório do Clima, Agostinho agiu tecnicamente e de maneira correta. Ela pondera, contudo, que a decisão enseja um debate mais amplo sobre o papel do petróleo no futuro do País. ""O momento é de estabelecer um calendário para a eliminação dos combustíveis fósseis e acelerar a transição justa para os países exportadores de óleo, como o Brasil, e não de abrir uma nova fronteira de exploração"", afirma Araújo. ""Quem dorme hoje sonhando com a riqueza petroleira tende a acordar amanhã com um ativo encalhado, ou um desastre ecológico, ou ambos."" Procurados, o Ministério de Minas e Energia e a Petrobras não se manifestaram. Mais cedo, também nesta quarta, Marina havia afirmado que o processo de exploração de petróleo na foz do Rio Amazonas é ""muito complexo"" e que a última palavra caberia a Agostinho. ""O Ministério do Meio Ambiente não dificulta nem facilita, ele cumpre o que está na lei"", disse Marina, em entrevista concedida à GloboNews."
1,2023-05-17,1," A Petrobras informou nesta quarta-feira, 17, que identificou a presença de hidrocarbonetos no pré-sal da Bacia de Santos, em poço exploratório de extensão, no bloco Aram. O poço 3-BRSA-1387D-SPS está localizado a 260km da cidade de Santos-SP, em profundidade dágua de 1.979 metros. Segundo a estatal, o poço está em perfuração e o intervalo portador de petróleo foi constatado por meio de perfis elétricos e amostras de fluido, que serão posteriormente caracterizadas por meio de análises de laboratório. ""Esses dados permitirão avaliar o potencial e direcionar as próximas atividades exploratórias na área. O consórcio dará continuidade às operações para concluir o projeto de perfuração do poço até a profundidade prevista e caracterizar as condições dos reservatórios encontrados"", afirma. O bloco Aram constitui um importante ativo para a exploração do potencial remanescente do Pré-Sal, em particular na bacia de Santos. ""Além disso, o poço apresentou um fluido de excelente qualidade, confirmando os baixos teores de contaminantes. Tal descoberta amplia as possibilidades de expansão da jazida descoberta pelo poço pioneiro 1-BRSA-1381-SPS, deste bloco"", destaca a empresa. O bloco Aram foi adquirido em março de 2020, na 6ª rodada de licitação da Agência Nacional do Petróleo, Gás Natural e Biocombustíveis (ANP), sob o regime de Partilha de Produção, tendo a Pré-Sal Petróleo S.A. (PPSA) como gestora. A Petrobras é a operadora do bloco e detém 80% de participação, em parceria com a empresa CNPC (20%)."
2,2023-05-17,0," Com o fim da previsibilidade na política de preços da Petrobras, aumenta o risco de ingerência política nas tarifas de combustíveis, alertam especialistas. ""O Brasil é um país que não tem um passado muito bom quando se fala em menos transparência de preços"", diz o sócio-diretor do Centro Brasileiro de Infraestrutura (Cbie), Pedro Rodrigues. ""Será que a Petrobras vai deixar dinheiro na mesa? Se eu estou com dificuldade de entender essa conta, imagina o acionista da Petrobras"", questiona Rodrigues, avaliando que provavelmente o papel da empresa vai sentir o impacto da notícia nos próximos dias. O economista e CFO da Somus Capital, Luciano Feres, não vê impacto para o consumidor final nos postos de abastecimento, mas prevê maior influência política na empresa e queda no lucro. ""Uma política que não segue a paridade não tem como ser positiva"", diz. O presidente da Associação Brasileira dos Importadores de Combustíveis (Abicom), Sérgio Araújo, afirmou ao Estadão/Broadcast, sistema de notícias em tempo real do Grupo Estado, que a nova estratégia de preços da Petrobras ainda não está clara, à exceção do fato que a ""transparência acabou"". ""Eu li até duas vezes o fato relevante e, para mim, não está muito claro não, tem coisas muito subjetivas: como vai ponderar a melhor alternativa do cliente na formação de preço, a margem por refinaria, o preço do produto alternativo. Na minha visão, o que tem de concreto é que a transparência acabou"", afirma. Para Rodrigues, o impacto da mudança na política de preços da Petrobras será sentido principalmente pelos importadores, que antes conseguiam enxergar com antecedência possíveis reajustes baseados no comportamento do petróleo no mercado internacional. A nova estratégia acaba com a previsibilidade dos reajustes de preços, e ainda fica a dúvida de como a estatal vai operacionalizar as mudanças. ""Com o PPI (Preço de Paridade de Importação), havia previsibilidade sobre a tendência do que acontecia"", diz Rodrigues. ""Essa previsibilidade acabou."" A perda de referência pelos importadores também é destacada por Araújo, que disse aguardar mais detalhes sobre a nova estratégia da estatal. ""Até agora o que entendi é que o agente dominante (Petrobras), que ainda tem uma parcela muito grande do mercado, está declarando que não tem mais transparência"", destacou Araújo acrescentando que a Abicom vai continuar publicando a defasagem dos preços internos em relação ao mercado internacional. O presidente da Petrobras, Jean Paul Prates, afirmou que não há nenhum tipo de intervenção do governo na estatal. ""Nós (Petrobras) somos parte do governo brasileiro. Não há intervenção nesse sentido de dizer assim 'bote o preço assim'. Os instrumentos da Petrobras competitivos, de rentabilidade, de garantia da financiabilidade da companhia estão integralmente garantidos."""
3,2023-05-17,0," O ministro da Fazenda, Fernando Haddad, disse que a Petrobras ainda tem margem para reduzir os preços dos combustíveis para compensar o fim do ciclo de reoneração que está sendo feito pelo governo. Ele afirmou que o País precisa aproveitar o momento em que o petróleo e o dólar caíram e o governo volta a tributar os combustíveis para manter impactos positivos na bomba. ""O aumento [da tributação] previsto para 1º de julho vai ser absorvido por uma queda no preço, que foi deixada para esse dia. Nós não baixamos tudo que podíamos, justamente esperando o 1º de julho, quando acaba o imposto de exportação e o ciclo de reoneração, assim como vai acontecer com o diesel no final do ano, e já deixou uma gordura para acomodar a reoneração"", disse Haddad. Em fevereiro, o governo anunciou que voltaria a cobrar impostos federais sobre gasolina e álcool. A reoneração parcial valeria a partir de março, e seria compensada por um imposto sobre exportação de óleo cru, válido por quatro meses. Ao final desse período, no início de julho, o governo precisa decidir se vai promover nova rodada de elevação dos tributos sobre gasolina e álcool ou se encontrará uma fonte compensatória para a arrecadação. Já a desoneração sobre o óleo diesel e gás de cozinha valerá até o final deste ano."
4,2023-05-16,1," As ações da Petrobras (PETR4) chegaram a subir mais de 3% terça-feira, 16, mesmo com as preocupações quanto aos efeitos da mudança da política de preço anunciada pela manhã. Em comunicado divulgado nesta manhã, a companhia informou que o novo modelo de precificação será lastreado em dois fatores: ""o custo alternativo do cliente, como valor a ser priorizado na precificação e o valor marginal para a Petrobras"". ""O custo alternativo do cliente contempla as principais alternativas de suprimento, sejam fornecedores dos mesmos produtos ou de produtos substitutos, já o valor marginal para a Petrobras é baseado no custo de oportunidade dadas as diversas alternativas para a companhia dentre elas, produção, importação e exportação do referido produto e/ou dos petróleos utilizados no refino"", explicou a Petrobras. Em conversa com jornalistas nesta manhã, Jean Paul Prates, presidente da Petrobras, ressaltou que a mudança ""não é uma volta ao passado"" e que não espera se ""afastar absolutamente da referência internacional dos preços"". ""Os preços estiveram mais altos, isso será refletido no Brasil."" Prates, no entanto, afirmou que a nova política de preços será bem diferente da anterior. ""Desde Getúlio Vargas, o Brasil não tinha essa volatilidade. Essa PPI [Política de Paridade de Importação] foi uma abstração, nunca foi praticada. Para a Petrobras ficou como se tivesse que praticar o preço da concorrência. Estamos colocando um filtro que a empresa Petrobras consegue fazer para amortecer esses efeitos. Essa é a vantagem de ter refino e autossufiencia em petróleo."" Segundo o presidente da Petrobras, a nova dinâmica de preços irá preservar o resultado econômico da empresa. ""Não vai abaixo da rentabilidade. Política competitiva de preços para o mercado interno defende a rentabilidade da empresa. Se trata de estratégia de empresa"", afirmou No mercado, apesar de muitas incertezas sobre o nível de lucratividade da Petrobras a sensação que ficou foi a de que poderia ter sido pior. "" O mercado já esperava algo bem ruim. próximo ao que foi feito no governo Dilma Rousseff. O anúncio, um pouco mais brando em meio à perspectiva de que seria muito ruim trouxe um fôlego para a ação, apesar da mudança de política de preços"", disse Felipz Isac, sócio Nexgen Capital. Isac ainda ressalta que no mercado há o ""clima de euforia"" com a Petrobras, após a empresa ter anunciado na semana passada dividendos e resultado robustos para o primeiro trimestre. Lucas Serra, analista da Toro, também avaliou que o mercado esperava por uma mudança mais drástica para a empresa. ""Apesar de estar revendo a política de preços e indo contra a PPI, a alteração foi vista como branda em relação ao que o mercado esperava"", disse. Por outro lado, Serra afirmou que ainda há dúvidas sobre os detalhes de como será a precificação. ""Seguimos aguardando por uma maior precisão de como a política de preços será implementada."" ""Não se vê na nova política represamento de preços, como feito em 2015, ou subsídio para importação de combustível. Isso é positivo, mas não quer dizer que não pode ser feito. Pelo novo modelo, há espaço para chegar em um denominador muito mais baixo que o preço de mercado, criando-se algum tipo de distorção. Havia a expectativa de que houvesse uma política mais rígida nesse sentido, mas não teve. Por isso, a ação sobe"", disse Ilan Abertman, analista da Ativa. Nesta manhã, a Petrobras anunciou corte de R$ 0,44 no preço do litro do diesel para R$ 3,02 e de R$ 0,40 no preço da gaolina para R$ 2,78 por litro."
5,2023-05-16,1," As ações da Petrobras abriram em alta de mais de 2% nesta terça-feira, 16, após a companhia ter anunciado alterações em sua política de preços nesta manhã. Ainda antes antes da abertura do mercado à vista no Brasil, os papéis da companhia já vinha sendo negociados no pré-mercado americano, onde  são negociados em forma de ADRs. Leia também: Por que a Petrobras (PETR4) subiu, apesar da mudança da política de preços? Na véspera, as ações preferenciais da estatal (PETR4) caíram 2,25%, após a companhia ter informado que alterações na política de preços estavam sendo discutidas. Apesar da alta, Werner Roger é sócio fundador e CIO da Trígono Capital, avalia que o futuro da companhia sob o novo modelo ainda é incerto. ""O resultado dos primeiro trimestre foi muito bom, mas foi de uma gestão passada. [Agora,] a empresa pode sofrer um pouco com a política interferindo nos preços"", disse.  O novo modelo de precificação, segundo a companhia será lastreado  em dois fatores: ""o custo alternativo do cliente, como valor a ser priorizado na precificação e o valor marginal para a Petrobras"". ""O custo alternativo do cliente contempla as principais alternativas de suprimento, sejam fornecedores dos mesmos produtos ou de produtos substitutos, já o valor marginal para a Petrobras é baseado no custo de oportunidade dadas as diversas alternativas para a companhia dentre elas, produção, importação e exportação do referido produto e/ou dos petróleos utilizados no refino"", explicou a Petrobras. A mudança na política de preços da petrobras era um desejo antido do governo e do próprio presidente da Petrobras, Jean Paul Prates. Em entrevista recente ao O Globo, inclusive, Prates afirmou que os preços dos combustíveis serão ""inexoravelmente mais baixos""."
6,2023-05-16,1," A Petrobras anunciou nesta terça-feira, 16, a redução nos preços a redução nos preços da gasolina, óleo diesel, e o GLP, e gás de cozinha para as distribuidoras a partir de quarta-feira, 17. A mudança acontece após a estatal definir o fim da paridade de importação do petróleo e uma nova política de preços. Considerando a mistura obrigatória de 88% de diesel A e 12% de biodiesel para a composição do diesel S10 comercializado nos postos, por exemplo, a parcela da Petrobras no preço ao consumidor será, em média, R$ 2,69 a cada litro vendido na bomba.  Segundo a Petrobras, mantidas as parcelas referentes aos demais agentes conforme a pesquisa de preços da ANP para o período de 7 a 13 de maio, o preço médio ao consumidor final poderia atingir o valor de R$ 5,18 por litro de diesel S10.  A mudança anunciada pela Petrobras passa a valer a partir de 17 de maio nas refinarias da companhia, que vendem o combustível às distribuidoras. Na ponta, porém, o preço que o consumidor paga no posto de combustível varia. Depois disso, o preço ao consumidor na bomba inclui ainda margens de lucro no restante da cadeia de produção e tributos locais, o que faz o valor final aumentar. LEIA TAMBÉM:  Botijão de gás ficará abaixo de R$ 100 pela primeira vez desde outubro de 2021 Petrobras anuncia redução da gasolina, diesel e gás de cozinha; veja valores"
7,2023-05-16,1," A Petrobras anunciou nesta terça-feira, 16, a redução nos preços da gasolina, óleo diesel, e o GLP, e gás de cozinha para as distribuidoras a partir de quarta-feira, 17. A mudança acontece após a estatal definir o fim da paridade de importação do petróleo e uma nova política de preços. Considerando a mistura obrigatória de 73% de gasolina A e 27% de etanol anidro para a composição da gasolina comercializada nos postos, a parcela da Petrobras no preço ao consumidor será, em média, R$ 2,03 a cada litro vendido na bomba. Segundo a Petrobras, mantidas as parcelas referentes aos demais agentes conforme a pesquisa de preços da ANP para o período de 7 a 13 de maio, o preço médio da gasolina ao consumidor final poderia atingir o valor de R$ 5,20 por litro. A mudança anunciada pela Petrobras, na gasolina, passa a valer a partir de 17 de maio nas refinarias da companhia, que vendem o combustível às distribuidoras. Na ponta, porém, o preço que o consumidor paga no posto de combustível varia. Depois disso, o preço ao consumidor na bomba inclui ainda margens de lucro no restante da cadeia de produção e tributos locais, o que faz o valor final aumentar. LEIA TAMBÉM:  Botijão de gás ficará abaixo de R$ 100 pela primeira vez desde outubro de 2021 Petrobras anuncia redução da gasolina, diesel e gás de cozinha; veja valores"
8,2023-05-16,1," O presidente da Petrobras, Jean Paul Prates, afirmou nesta terça-feira, 16, que não há nenhum tipo de intervenção do governo na estatal. A declaração foi dada ao lado do ministro de Minas e Energia, Alexandre Silveira, após a empresa anunciar uma mudança na estratégia comercial para definição dos preços de combustíveis. A política anterior vinha sendo duramente criticada nos últimos meses pelo governo. ""Não há intervenção absolutamente nenhuma"", disse Prates, em entrevista a jornalistas, ressaltando que a estratégia comercial da empresa é decisão de sua diretoria executiva. ""Nós somos parte do governo brasileiro. Não há intervenção nesse sentido de dizer assim 'bote o preço assim'. Os instrumentos da Petrobras competitivos, de rentabilidade, de garantia da financiabilidade da companhia estão integralmente garantidos."" Representantes do governo já haviam sinalizado a intenção de mudar o modelo adotado até então, a paridade com o mercado internacional — também conhecido como PPI. As críticas à política de preço da Petrobras geraram, nos primeiros meses do governo, um desgaste na relação entre o Ministério de Minas e Energia (MME) e a empresa. Ao comentar a mudança, Prates ressaltou que os preços das áreas de influência variam de região e também de clientes, que são as distribuidoras. Afirmou também que a empresa continuará tendo transparência total e que os componentes da composição de preços estarão disponíveis no site da empresa. Prates afirmou que a mudança pode parecer ser uma volta ao passado, mas, na verdade, a empresa está colocando um filtro para amortecer os preços praticados no Brasil. ""O que nós estamos garantindo aqui é menos volatilidade especulativa internacional. Vamos ter efeito da referência internacional? Vamos, mas estarão refratados numa série de possibilidades nacionais."" O presidente da estatal afirmou que ter boa parte dos custos em reais não pode se comparar com a paridade de preços de importação e que irão deixar o pior cenário para as moléculas que precisam ser importadas. ""Seremos capazes de mitigar a volatilidade internacional"", disse, afirmando que a Petrobras praticava preços dos concorrentes. Jean Paul Prates afirmou que a empresa será capaz de mitigar a volatilidade internacional nos preços dos combustíveis com a aprovação da nova estratégia comercial para definição dos preços da gasolina e diesel. Segundo Prates, a empresa não irá se afastar das referências de preços internacionais e, sim, colocar um filtro com sua capacidade de refino para amortecer os efeitos. ""Esse modelo maximiza a incorporação de vantagens competitivas, sem se afastar absolutamente da referência internacional dos preços. Quando digo referência, não é paridade de importação"", disse Prates sobre o novo modelo anunciado pela estatal de óleo e gás. O presidente da Petrobras garante que a nova política de preços da companhia considera o custo de perder o cliente e o custo de perder a rentabilidade. Segundo ele, a empresa passa a ter a possibilidade de usar o que chamou de ""liberdades competitivas"" para vender os combustíveis. ""A Petrobras passa a ter a liberdade para praticar preços. Esse modelo maximiza a incorporação de vantagens competitivas, sem se afastar absolutamente da referência internacional dos preços. Quando digo referência, não é paridade de importação"", destacou Prates."
9,2023-05-16,2," A Petrobras (PETR4) anunciou nesta terça-feira, 16, uma nova metodologia para sua política de preços de diesel e gasolina, abandonando a baseada na paridade de importação. A empresa já havia informado que uma nova política de preços estava em discussão. O novo modelo de precificação, segundo a companhia será lastreado  em dois fatores: ""o custo alternativo do cliente, como valor a ser priorizado na precificação e o valor marginal para a Petrobras"". ""O custo alternativo do cliente contempla as principais alternativas de suprimento, sejam fornecedores dos mesmos produtos ou de produtos substitutos, já o valor marginal para a Petrobras é baseado no custo de oportunidade dadas as diversas alternativas para a companhia dentre elas, produção, importação e exportação do referido produto e/ou dos petróleos utilizados no refino"", explicou a Petrobras. A Petrobras afirmou que a nova estratégia busca considerar ""a melhor alternativa acessível aos clientes"". ""Essa estratégia permite a Petrobras competir de forma mais eficiente, levando em consideração a sua participação no mercado, para otimização dos seus ativos de refino, e a rentabilidade de maneira sustentável"", afirmou. A Petrobras espera que a mudança traga mais ""flexibilidade para praticar preços competitivos, se valendo de suas melhores condições de produção e logística e disputando mercado com outros atores que  comercializam combustíveis no Brasil, como distribuidores e importadores"". A companhia ainda informou que s reajustes continuarão sendo feitos sem periodicidade definida, o que, segundo a Petrobras, deve evitar a internalização das volatilidades do petróleo no exterior e do câmbio. A mudança na política de preços da petrobras era um desejo antido do governo e do próprio presidente da Petrobras, Jean Paul Prates. Em entrevista recente ao O Globo, inclusive, Prates afirmou que os preços dos combustíveis serão ""inexoravelmente mais baixos"". No final da manhã desta terça-feira, Prates afirmou que a estatal reduzirá em R$ 0,40 por litro o preço médio de venda da gasolina tipo A para as distribuidoras,. Dessa maneria, a partir de amanhã, dia 17 de maio, o valor passará de R$ 3,18 para R$ 2,78 por litro.  Prates também anunciou que a empresa reduzirá em R$ 0,44 por litro o preço médio de venda de diesel tipo A para as distribuidoras, que passará de R$ 3,46 para R$ 3,02 por litro. Os preços do Gás Liquefeito de Petróleo (GLP), mais conhecido como gás de cozinha, também terá uma redução de R$ 0,69 por quilo no preço médio. Em nota divulgada logo após o anúncio, a Petrobras destacou que o valor efetivamente cobra ao consumidor final no posto é afetado também por outros fatores, como impostos, mistura de biocombustíveis e margens de lucro das distribuidoras e da revenda. *matéria atualizada após entrevista do CEO da Petrobras "
